# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=3,timestep=0.1
Bx,By,Bz,X,Y,Z
2.840183083177737799e+01,3.204776508335687613e+00,6.069229924324939240e+00,-1.316091260432420086e+03,-6.600787804961362781e+03,-2.319969497498292412e+02
2.840166400483584752e+01,3.203975935927226626e+00,6.073125465783706822e+00,-1.315463784076571756e+03,-6.600926684258823116e+03,-2.316569652961471206e+02
2.840149704467267711e+01,3.203175002301054786e+00,6.077021017206305054e+00,-1.314836292649659754e+03,-6.601065486921070260e+03,-2.313169778194960315e+02
2.840132995125366122e+01,3.202373707329854380e+00,6.080916578325457067e+00,-1.314208786158727889e+03,-6.601204212946590815e+03,-2.309769873243143365e+02
2.840116272454463342e+01,3.201572050886456910e+00,6.084812148873714577e+00,-1.313581264610840890e+03,-6.601342862333873200e+03,-2.306369938150412509e+02
2.840099536451145568e+01,3.200770032843783586e+00,6.088707728583581336e+00,-1.312953728013030741e+03,-6.601481435081402196e+03,-2.302969972961158760e+02
2.840082787112019602e+01,3.199967653074975438e+00,6.092603317187332834e+00,-1.312326176372378995e+03,-6.601619931187668953e+03,-2.299569977719775693e+02
2.840066024433685143e+01,3.199164911453217908e+00,6.096498914417217030e+00,-1.311698609695912182e+03,-6.601758350651159162e+03,-2.296169952470655176e+02
2.840049248412748639e+01,3.198361807851849647e+00,6.100394520005296251e+00,-1.311071027990688435e+03,-6.601896693470367609e+03,-2.292769897258191349e+02
2.840032459045840341e+01,3.197558342144351862e+00,6.104290133683513808e+00,-1.310443431263762932e+03,-6.602034959643781804e+03,-2.289369812126775514e+02
2.840015656298997726e+01,3.196754513755176941e+00,6.108185755889374846e+00,-1.309815819040745737e+03,-6.602173149265411666e+03,-2.285969697120803517e+02
2.839998840230014920e+01,3.195950323456147490e+00,6.112081384943206075e+00,-1.309188192291570886e+03,-6.602311262142673513e+03,-2.282569552284667509e+02
2.839982010804943613e+01,3.195145770672191077e+00,6.115977021282296811e+00,-1.308560550541837301e+03,-6.602449298369622738e+03,-2.279169377662762486e+02
2.839965168020439990e+01,3.194340855277323143e+00,6.119872664638069004e+00,-1.307932893798617215e+03,-6.602587257944756857e+03,-2.275769173299482304e+02
2.839948311873158104e+01,3.193535577145701243e+00,6.123768314741860230e+00,-1.307305222068958301e+03,-6.602725140866564288e+03,-2.272368939239222243e+02
2.839931442359749525e+01,3.192729936151570413e+00,6.127663971324836645e+00,-1.306677535359925969e+03,-6.602862947133544367e+03,-2.268968675526377012e+02
2.839914559476881806e+01,3.191923932169299150e+00,6.131559634118121771e+00,-1.306049833678540153e+03,-6.603000676744204611e+03,-2.265568382205342175e+02
2.839897663221234225e+01,3.191117565073436690e+00,6.135455302852619752e+00,-1.305422117031886728e+03,-6.603138329697028894e+03,-2.262168059320513009e+02
2.839880753589483220e+01,3.190310834738649959e+00,6.139350977259169007e+00,-1.304794385427007910e+03,-6.603275905990526553e+03,-2.258767706916285931e+02
2.839863830578316239e+01,3.189503741039726226e+00,6.143246657068437422e+00,-1.304166638870967745e+03,-6.603413405623190556e+03,-2.255367325037056787e+02
2.839846894184424642e+01,3.188696283851570890e+00,6.147142342011022720e+00,-1.303538877370809587e+03,-6.603550828593528422e+03,-2.251966913727221424e+02
2.839829944404515416e+01,3.187888463049211474e+00,6.151038031817400942e+00,-1.302911100933568605e+03,-6.603688174900043123e+03,-2.248566473031177395e+02
2.839812981235289158e+01,3.187080278507887776e+00,6.154933726217831413e+00,-1.302283309566339994e+03,-6.603825444541231263e+03,-2.245166002993321683e+02
2.839796004642829175e+01,3.186271729650316242e+00,6.158829425647972755e+00,-1.301655502794586255e+03,-6.603962637610518868e+03,-2.241765503658051557e+02
2.839779014685123215e+01,3.185462817256818457e+00,6.162725128427037902e+00,-1.301027681588487667e+03,-6.604099753916530062e+03,-2.238364975069764569e+02
2.839762011328270219e+01,3.184653540750664202e+00,6.166620834990401256e+00,-1.300399845473547202e+03,-6.604236793552733616e+03,-2.234964417272858554e+02
2.839744994568998138e+01,3.183843900007586658e+00,6.170516545067876280e+00,-1.299771994456824586e+03,-6.604373756517633410e+03,-2.231563830311731635e+02
2.839727964404054816e+01,3.183033894903405603e+00,6.174412258389205377e+00,-1.299144128545360218e+03,-6.604510642809741512e+03,-2.228163214230782785e+02
2.839710920830190588e+01,3.182223525314112678e+00,6.178307974683939996e+00,-1.298516247746221779e+03,-6.604647452427561802e+03,-2.224762569074410692e+02
2.839693863844156851e+01,3.181412791115787453e+00,6.182203693681549872e+00,-1.297888352066454217e+03,-6.604784185369610896e+03,-2.221361894887014330e+02
2.839676793442720637e+01,3.180601692184715557e+00,6.186099415111349309e+00,-1.297260441513125670e+03,-6.604920841634391763e+03,-2.217961191712992672e+02
2.839659709622647554e+01,3.179790228397243901e+00,6.189995138702539812e+00,-1.296632516093289951e+03,-6.605057421220416472e+03,-2.214560459596746398e+02
