# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=0.1
Bx,By,Bz,X,Y,Z
3.427678834054075452e+01,5.958203027557074094e+00,-8.139218745806221733e+00,-6.661181542986614659e+03,9.595771387101552818e+02,-2.506911112314991499e+02
3.427619430333849948e+01,5.958296524908394787e+00,-8.133898348001427081e+00,-6.661287447399551638e+03,9.589431503870312099e+02,-2.503512967278928727e+02
3.427559996742851922e+01,5.958389787658097347e+00,-8.128578078515138472e+00,-6.661393274412401297e+03,9.583091516302865784e+02,-2.500114789571637175e+02
3.427500533252560189e+01,5.958482816037618868e+00,-8.123257936388172951e+00,-6.661499024093995104e+03,9.576751419613101461e+02,-2.496716579237492226e+02
3.427441039866535988e+01,5.958575610029691383e+00,-8.117937921846923643e+00,-6.661604696443185276e+03,9.570411213872073404e+02,-2.493318336320864717e+02
3.427381516588369692e+01,5.958668169617087784e+00,-8.112618035117916904e+00,-6.661710291458827669e+03,9.564070899151181493e+02,-2.489920060866130882e+02
3.427321963421642437e+01,5.958760494782664452e+00,-8.107298276427647110e+00,-6.661815809139778139e+03,9.557730475521545941e+02,-2.486521752917662695e+02
3.427262380337813852e+01,5.958852585756856612e+00,-8.101978644816924202e+00,-6.661921249554547103e+03,9.551389938196435878e+02,-2.483123412519836108e+02
3.427202767404722294e+01,5.958944442027345190e+00,-8.096659142883655846e+00,-6.662026612562642185e+03,9.545049296962984045e+02,-2.479725039717023662e+02
3.427143124593851553e+01,5.959036063824898477e+00,-8.091339769668740800e+00,-6.662131898232620188e+03,9.538708547034566436e+02,-2.476326634553601593e+02
3.427083451908796263e+01,5.959127451132558484e+00,-8.086020525398689429e+00,-6.662237106563345151e+03,9.532367688482223684e+02,-2.472928197073945569e+02
3.427023749353167403e+01,5.959218603933489788e+00,-8.080701410300145326e+00,-6.662342237553673840e+03,9.526026721377330659e+02,-2.469529727322430688e+02
3.426964016930573820e+01,5.959309522210882726e+00,-8.075382424599698794e+00,-6.662447291202470296e+03,9.519685645791113302e+02,-2.466131225343432618e+02
